s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89655.4325066,43128.8600594,-1.7962540,-0.0313374,9.8081139,-5.1910739
0.8557007,89655.2412126,43128.0260149,-1.8141163,-0.0208745,9.2642786,-1.1713363
1.6909267,89655.0399848,43127.2153917,-1.9405543,-0.1513817,9.1370904,-0.3877113
2.4810925,89654.7544270,43126.4786294,-1.9569809,-0.0207889,9.0945994,-0.3877113
3.2959618,89654.4475010,43125.7237729,-2.3106759,-0.4340512,9.0519090,0.7791217
4.3003433,89653.7703480,43124.9819872,-2.4430921,-0.1318385,9.1374949,0.5228389
5.3183531,89652.9907487,43124.3273355,-2.5577667,-0.1126459,9.1944816,2.0276300
6.3204955,89652.1546013,43123.7749343,-2.6926460,-0.1345910,9.4122198,3.9057897
7.2981996,89651.2737831,43123.3505943,-2.7880066,-0.0975352,9.8180449,4.8481531
8.2916890,89650.3417539,43123.0065844,-2.9676637,-0.1808345,10.2995660,4.8027450
9.3380962,89649.3111344,43122.8255001,-3.0665447,-0.0944957,10.7553420,4.7577623
10.4192454,89648.2330284,43122.7444382,-3.0696207,-0.0028452,11.1885578,-3.7026709
11.4836871,89647.1713424,43122.6678944,-3.1088397,-0.0368447,10.8529052,-1.8281422
12.5219634,89646.1336229,43122.6338939,3.0833628,-0.0876286,10.6832933,-1.7710401
13.5407632,89645.1165499,43122.6931849,2.9961970,-0.0855574,10.5163708,-1.8122499
14.5560395,89644.1119861,43122.8402821,2.9721455,-0.0236896,10.3427760,-0.4967831
15.5689474,89643.1135849,43123.0110963,2.9843429,0.0120419,10.2946781,-0.4967831
16.5771183,89642.1178531,43123.1689784,2.8192250,-0.1637796,10.2463544,-0.2127418
17.5725891,89641.1736610,43123.4843566,2.7771642,-0.0422522,10.2255905,1.1258149
18.5657479,89640.2457253,43123.8383336,2.7499493,-0.0274024,10.3349979,2.4303287
19.5424917,89639.3429376,43124.2111644,2.7861047,0.0370163,10.5673176,3.9820148
20.4746154,89638.4690933,43124.5355880,2.8064468,0.0218233,10.9373045,4.7392595
21.3709921,89637.6225889,43124.8304125,2.6891616,-0.1308437,11.3619586,4.6948714
22.2878274,89636.7979991,43125.2312101,2.5619561,-0.1387441,11.7675352,4.6508990
23.2490971,89635.9937415,43125.7577166,2.6166133,0.0568594,12.1559782,4.6073384
24.0243369,89635.3228999,43126.1462630,2.6293678,0.0164522,12.5289141,4.5641858
24.7846035,89634.6602088,43126.5188832,2.5055826,-0.1628181,12.8877208,4.5214374
25.5781347,89634.0218351,43126.9902331,2.4693846,-0.0456163,13.2335782,4.4790894
26.3923448,89633.3847575,43127.4972541,2.4231055,-0.0568394,13.5675061,4.4371380
27.2360413,89632.7496208,43128.0526144,2.3951604,-0.0331222,13.8903934,4.3955796
28.0988644,89632.1162084,43128.6384920,2.3978274,0.0030910,14.2030207,4.3544103
28.9583046,89631.4837254,43129.2203877,2.4252805,0.0319430,14.5060783,4.0388825
29.7968021,89630.8513035,43129.7709516,2.4599194,0.0413107,14.7816225,2.6500026
30.6118084,89630.2184352,43130.2844816,2.4827613,0.0280267,14.9596561,-1.0392877
31.4127165,89629.5851506,43130.7747921,2.2878704,-0.2433375,14.8900879,-1.0392877
32.4273881,89628.9183266,43131.5395824,2.2356286,-0.0514863,14.8201932,-0.5278977
33.4220435,89628.3046967,43132.3223963,2.1916782,-0.0441866,14.7845642,1.2132361
34.4073325,89627.7315022,43133.1237966,2.1580340,-0.0341465,14.8663208,3.5565045
35.3984077,89627.1823835,43133.9488413,2.1323168,-0.0259488,15.1034339,4.2307170
36.3973680,89626.6504633,43134.7944078,2.1132850,-0.0190516,15.3807371,4.1910918
37.4026799,89626.1314520,43135.6553835,2.1007808,-0.0124381,15.6505993,4.1518378
