s_m,d_min_m,d_max_m
0.0000000,-1.6807002,4.6387022
0.8842035,-1.7525241,4.7977952
1.7903462,-1.8007572,4.8721502
2.7111893,-1.9652324,4.8795111
3.6386193,-2.0860619,4.7222340
4.5783250,-2.1325009,5.5537150
5.5523588,-2.0163007,5.4639694
6.5701555,-1.8247996,5.4040747
7.6116945,-1.7615643,5.3862878
8.6521762,-1.7055005,5.4151580
9.6858928,-1.7217161,5.6092588
10.7193051,-1.7697300,5.5754179
11.7604614,-1.9413295,5.3048983
12.8216088,-2.1429850,5.1758378
13.9132842,-2.2089144,5.1321797
15.0223483,-2.2144258,5.1537643
16.1131221,-2.1276323,5.2159391
17.1613611,-2.0368256,5.2148808
18.1673204,-1.9422185,5.1958573
19.1397673,-1.8277377,5.2525701
20.0835385,-1.6781524,5.5622482
21.0028239,-1.6153910,5.6868997
21.9076650,-1.4512594,5.7183394
22.7778819,-1.4051469,6.1599150
23.6380192,-1.4316323,6.0701681
24.4858535,-1.4355324,5.7957346
25.3211442,-1.5624392,5.5990238
26.1454220,-1.7419562,5.3971537
26.9615716,-1.9179407,5.1885324
27.7729264,-2.0969992,4.9763071
28.5821883,-2.2827869,4.7634833
29.3908583,-2.4628373,4.5665026
30.2257085,-2.6805009,4.3655537
31.0748776,-2.8847312,4.1787729
31.9385193,-3.0788324,4.0089204
32.8166683,-3.2534111,3.8834761
33.7093058,-3.4348388,3.7671962
34.6161762,-3.5837582,3.6739961
35.5365269,-3.6976262,3.6041297
36.4689773,-3.7750052,3.5836113
37.4116031,-3.8287574,3.5827683
38.3621919,-3.8648760,3.5980247
39.3185541,-3.8824216,3.6249865
40.2787765,-3.8920146,3.6581961
41.2413595,-3.8968450,3.6817079
42.2052294,-3.8991084,3.5994426
43.1696505,-3.8947643,3.4990258
44.1310021,-3.9143782,3.3824699
45.0963085,-4.0162438,3.2445433
46.0589916,-4.0981142,3.1243163
47.0173724,-4.2006455,3.0282146
47.9720150,-4.2684964,2.9536792
48.9251605,-4.3180844,2.9616058
49.8797991,-4.3763164,2.9695689
50.8396176,-4.4780027,2.9151051
51.8066023,-4.5787882,2.8210242
52.7797388,-4.6989701,2.7130555
53.7578331,-4.8216025,2.6148227
54.7418165,-4.9428835,2.4890472
55.7340306,-5.0236701,2.3508591
56.7362123,-5.0276103,2.2452709
57.7477655,-4.9950133,2.2338787
58.7650281,-4.9298901,2.2696612
59.7823127,-4.7727541,2.3529950
60.7949881,-4.5059172,2.4865659
61.8027289,-4.1474940,2.6787820
62.8092165,-3.7587251,2.9470155
63.8171707,-2.7577174,2.6838157
64.9436054,-2.2844824,3.2227112
65.9481044,-2.2452153,4.3008403
66.8526186,-2.1109421,4.9238147
67.7184302,-1.8147161,4.7501327
68.6023881,-1.7391346,5.2733149
69.5268886,-1.4502243,5.8665541
70.4859898,-1.4443235,6.2225677
71.4636657,-1.6390133,6.0330142
72.4469700,-1.7150712,5.8366885
73.4216678,-2.0393016,5.6672503
74.3884741,-2.4957694,4.6426364
75.3582412,-2.6948253,3.9021108
76.3399434,-3.0047645,3.5897330
77.3325202,-3.5437593,3.3203492
78.3395642,-3.8657385,2.9538192
79.3559064,-4.7938709,2.7886498
80.5509272,-4.9996050,2.6410741
81.7160930,-5.1931616,2.5157125
82.8243305,-5.3356598,2.3745806
83.8554259,-5.4053189,2.2789934
84.8004878,-5.3878175,2.2311848
85.6639803,-5.3071358,2.2265058
86.4612658,-5.1779739,2.2561162
87.2585556,-5.0311062,2.3863013
88.0656461,-4.8682189,2.5208939
88.8915386,-4.6817363,2.6677611
89.7435076,-4.4738980,2.8299095
90.6260556,-4.2876264,2.9551247
91.5400220,-4.0754899,3.1006549
92.4823301,-3.8627195,3.2489358
93.4467624,-3.6430182,3.4020125
94.4256953,-3.4485821,3.5366411
95.4121381,-3.2914504,3.6848396
96.4011954,-3.1599938,3.7959361
97.3904087,-3.0255498,3.8526961
98.3791176,-2.9145538,3.8715266
99.3674723,-2.8193631,3.8643405
100.3557141,-2.7175742,3.8742915
101.3709274,-2.6942579,3.9584916
102.3825038,-2.6551480,4.0190487
103.5371153,-2.5727344,4.1154786
104.7340018,-2.5018772,4.1845631
105.9528231,-2.4767434,4.0654836
107.1372282,-2.5403674,3.7271639
108.2619502,-2.7392741,3.3624022
109.3278087,-2.8329148,3.1855472
110.3300644,-2.8037326,2.8876892
111.2702579,-2.9871896,2.4347259
112.1563955,-4.6584206,2.3830564
112.9795778,-5.0054978,2.3799736
113.7368105,-5.1776886,2.3469427
114.4531237,-4.9295573,2.1892491
115.2689894,-5.1881771,2.1764015
116.1250353,-5.2953149,2.0849617
116.9366262,-5.0185449,2.0244618
117.7407443,-5.2955761,1.8809897
118.5657727,-5.2116396,1.9126352
119.5256437,-4.8280086,1.8229628
120.5505608,-4.2109180,1.8679986
121.6377982,-3.6227628,2.2326848
122.7208145,-3.3053457,2.6199856
123.7609356,-3.0053635,2.9574313
124.7722639,-2.8078696,3.5559850
125.8110521,-2.5923826,3.8535954
126.8711367,-2.4514069,4.0800066
127.9241131,-2.3862902,4.1747733
128.9583204,-2.3712721,4.2178200
129.9761871,-2.4156552,4.2141980
130.9572708,-2.4486321,4.1848115
131.8540870,-2.4034347,4.1479447
132.7932746,-2.2830435,4.2073013
133.7364199,-2.2035623,4.2705206
