s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89657.3225809,43128.9957499,-1.5400451,-0.0511864,9.8081139,-5.1910739
1.0433533,89657.3546602,43127.9528899,-1.5934507,-0.1586274,9.2642786,-1.1713363
2.1884016,89657.3287221,43126.8081355,-1.7750867,-0.2517994,9.1370904,-0.3877113
3.4301648,89657.0768027,43125.5921944,-2.0877619,-0.2152856,9.0945994,-0.3877113
4.7536780,89656.4226636,43124.4416341,-2.3726952,-0.1085253,9.0519090,0.7791217
6.0910741,89655.4615067,43123.5116847,-2.5178366,-0.0353384,9.1374949,0.5228389
7.3626371,89654.4293914,43122.7689800,-2.5627716,-0.0144701,9.1944816,2.0276300
8.6055957,89653.3889006,43122.0890351,-2.5807573,-0.0916013,9.4122198,3.9057897
9.8878385,89652.3030832,43121.4070182,-2.6982124,-0.1770463,9.8180449,4.8481531
11.1936487,89651.1235360,43120.8468318,-2.9294013,-0.1579952,10.2995660,4.8027450
12.4652710,89649.8804339,43120.5790248,-3.1303115,-0.0900545,10.7553420,4.7577623
13.7102211,89648.6355631,43120.5649806,3.0407605,-0.0602852,11.1885578,-3.7026709
14.9528043,89647.3992913,43120.6900607,2.9658511,-0.0556934,10.8529052,-1.8281422
16.1887219,89646.1824103,43120.9061465,2.8970186,-0.0148993,10.6832933,-1.7710401
17.3908509,89645.0160560,43121.1972338,2.8791077,0.0154288,10.5163708,-1.8122499
18.5403647,89643.9059152,43121.4955110,2.8968433,-0.0021692,10.3427760,-0.4967831
19.6443283,89642.8348519,43121.7630159,2.8944486,0.0061774,10.2946781,-0.4967831
20.7264251,89641.7856345,43122.0277355,2.9011331,0.0292277,10.2463544,-0.2127418
21.8031192,89640.7399183,43122.2841491,2.9326024,0.0016073,10.2255905,1.1258149
22.8844414,89639.6821247,43122.5084935,2.9343404,-0.0343542,10.3349979,2.4303287
23.9662618,89638.6234553,43122.7311016,2.8971753,-0.1291493,10.5673176,3.9820148
25.0028436,89637.6176823,43122.9819450,2.7633015,-0.1370894,10.9373045,4.7392595
26.3669019,89636.3500667,43123.4857367,2.5763035,-0.1899676,11.3619586,4.6948714
27.3103665,89635.5533734,43123.9911129,2.3970759,-0.1637920,11.7675352,4.6508990
28.2379036,89634.8712483,43124.6196274,2.2451527,-0.0990115,12.1559782,4.6073384
29.1425099,89634.3064169,43125.3262234,2.1555863,-0.0274618,12.5289141,4.5641858
30.0183376,89633.8229388,43126.0565132,2.1315345,-0.0219904,12.8877208,4.5214374
30.8647133,89633.3728264,43126.7732772,2.1129224,0.0234531,13.2335782,4.4790894
31.6973278,89632.9432320,43127.4865061,2.1324498,0.0363247,13.5675061,4.4371380
32.5223667,89632.5038275,43128.1847990,2.1624191,-0.0452098,13.8903934,4.3955796
33.3458735,89632.0445506,43128.8683399,2.1251885,0.0086250,14.2030207,4.3544103
34.1625029,89631.6146552,43129.5626550,2.1322319,0.0078488,14.5060783,4.0388825
35.0413420,89631.1467595,43130.3065850,2.1391297,0.0020324,14.7816225,2.6500026
35.9349546,89630.6657920,43131.0597210,2.1409459,-0.0005331,14.9596561,-1.0392877
36.8375260,89630.1786219,43131.8195239,2.1404648,0.0088224,14.8900879,-1.0392877
37.7450195,89629.6891627,43132.5837058,2.1484710,-0.0000059,14.8201932,-0.5278977
38.6553126,89629.1920722,43133.3462900,2.1484656,0.0019687,14.7845642,1.2132361
39.5712025,89628.6919295,43134.1135654,2.1502687,-0.0083895,14.8663208,3.5565045
40.4945940,89628.1862964,43134.8862148,2.1425220,-0.0241560,15.1034339,4.2307170
41.4272540,89627.6816489,43135.6705525,2.1199927,-0.0109895,15.3807371,4.1910918
42.3694420,89627.1898250,43136.4741864,2.1096385,0.0080949,15.6505993,4.1518378
43.3192387,89626.7024439,43137.2894001,2.1173270,0.0122104,15.9134223,4.1129515
44.2744248,89626.2060085,43138.1054469,2.1289902,0.0017588,16.1695721,4.0744294
45.2335836,89625.6979851,43138.9190179,2.1306772,0.0175072,16.4193832,4.0362681
46.1955385,89625.1871050,43139.7341000,2.1475183,-0.0009394,16.6631623,3.9984642
47.1591323,89624.6616775,43140.5418369,2.1466131,-0.0148818,16.9011915,3.9610143
48.1360852,89624.1297070,43141.3612540,2.1320743,0.0221269,17.1337311,3.9239153
49.1185111,89623.6067926,43142.1929518,2.1538123,-0.0091757,17.3610219,3.8871637
50.0825095,89623.0760689,43142.9977034,2.1449670,-0.0368431,17.5832872,3.8507563
51.0354579,89622.5584858,43143.7978399,2.1098573,-0.0028462,17.8007346,3.8146899
51.9812111,89622.0730019,43144.6094769,2.1071656,0.0459592,18.0135574,3.7789613
52.9321549,89621.5870521,43145.4268794,2.1508702,0.0037784,18.2219362,3.7435674
53.9003184,89621.0564154,43146.2366728,2.1545284,-0.0357603,18.4260400,-12.0496172
54.8843773,89620.5140594,43147.0577829,2.1193381,0.0061038,17.7607070,-11.9050608
55.8776912,89619.9961023,43147.9053635,2.1254011,0.0265789,17.0779190,-10.9617331
56.8633998,89619.4770209,43148.7433229,2.1516002,-0.0017962,16.4241521,-10.9608532
57.8292828,89618.9470446,43149.5508222,2.1498653,-0.0011227,15.7433157,-11.0731913
58.7809479,89618.4262507,43150.3473397,2.1487968,0.0149677,15.0242052,-11.3501059
59.7273412,89617.9091884,43151.1399979,2.1629622,-0.0005497,14.2494980,-10.3102948
60.6763332,89617.3794996,43151.9274085,2.1624406,-0.0172690,13.5073048,-9.1629093
61.6304680,89616.8473533,43152.7193640,2.1459637,0.0091223,12.8116726,-8.2971093
62.5832133,89616.3290835,43153.5188138,2.1546549,0.0153687,12.1474513,-7.5860738
63.5283757,89615.8080651,43154.3074024,2.1691809,0.0008411,11.5066461,-6.9636016
64.4709087,89615.2771283,43155.0861671,2.1699736,-0.0137762,10.8852650,-6.4154791
65.4297735,89614.7363638,43155.8779976,2.1567641,-0.0821271,10.2796051,-5.4737947
66.4324492,89614.1818782,43156.7134042,2.0744173,0.0129364,9.7330950,-4.5187266
67.4665009,89613.6828448,43157.6190689,2.0877942,-0.2401021,9.2576623,-3.9002874
68.5655529,89613.1396134,43158.5744825,1.8239095,0.0340630,8.8267310,-3.7078705
69.8352734,89612.8216511,43159.8037465,1.8671601,-0.1513880,8.3965777,-4.5420110
71.0567581,89612.4649233,43160.9719802,1.6822419,-0.2110607,7.8375483,-3.2705711
72.2900127,89612.3277668,43162.1975842,1.4219504,-0.2003969,7.4089314,-0.2549199
73.5905096,89612.5206266,43163.4837014,1.1613348,-0.1773002,7.3744770,-0.2549199
74.9047630,89613.0438512,43164.6893125,0.9283174,-0.2114705,7.3398609,0.0962443
76.1685324,89613.8010790,43165.7011025,0.6610675,-0.1930389,7.3529493,-1.7106526
77.3074506,89614.7000696,43166.4003525,0.4412119,-0.1950100,7.1167284,-0.2352087
79.0152513,89616.2443224,43167.1296442,0.1081737,-0.1893924,7.0836329,-0.2352087
80.3513200,89617.5725817,43167.2738901,-0.1448676,-0.2101400,7.0503820,3.8747872
81.6602781,89618.8678285,43167.0849270,-0.4199321,-0.1545396,7.5795821,4.2681960
82.9321711,89620.0292151,43166.5663783,-0.6164900,-0.1124228,8.1227034,0.0643603
84.1316289,89621.0078682,43165.8728819,-0.7513364,-0.0967814,8.1306154,0.6607222
85.2585218,89621.8313759,43165.1036468,-0.8603986,-0.0719431,8.2114000,4.7596003
86.3378297,89622.5352307,43164.2854207,-0.9380474,-0.0447585,8.7713857,4.9393568
87.3830513,89623.1533369,43163.4425488,-0.9848299,-0.1026226,9.3170002,4.7498031
88.1988675,89623.6044872,43162.7628288,-1.0685511,0.0301074,9.8131051,2.1921135
89.4013805,89624.1833706,43161.7088214,-1.0323466,0.0283876,10.0337967,2.0782995
90.5414870,89624.7680238,43160.7300346,-0.9999817,-0.0078679,10.2386380,2.6569595
91.5959471,89625.3377673,43159.8427475,-1.0082781,-0.0260916,10.4946918,3.7323425
92.5546076,89625.8490382,43159.0318024,-1.0332911,0.0090968,10.8441743,4.6302586
93.4177139,89626.2909440,43158.2904039,-1.0254396,0.0209098,11.2626727,4.7054010
